date,city,death,pm10,tempF,o3,dow,season
1987-05-26,denv,15,NA,61.0,11.157021017,Tuesday,Spring
1987-05-27,denv,15,-7.059643852,54.75,12.598031055,Wednesday,Spring
1987-05-28,denv,19,-9.828685259,57.75,12.799721876,Thursday,Spring
1987-05-29,denv,15,-4.828685259,58.5,12.675712578,Friday,Spring
1987-05-30,denv,6,-24.83908046,60.75,10.780391221,Saturday,Spring
1987-05-31,denv,18,NA,65.25,15.266502332,Sunday,Spring
1987-06-01,denv,19,NA,64.25,11.045535608,Monday,Spring
1987-06-02,denv,14,-7.133164983,61.75,19.352081865,Tuesday,Spring
1987-06-03,denv,15,-15.82868526,57.75,13.661823689,Wednesday,Spring
1987-06-04,denv,14,-4.828685259,67.0,10.532021017,Thursday,Spring
1987-06-05,denv,17,-8.833882859,72.5,11.314629712,Friday,Spring
1987-06-06,denv,17,NA,72.75,23.670909906,Saturday,Spring
1987-06-07,denv,17,-15.82868526,73.75,21.822057888,Sunday,Spring
1987-06-08,denv,14,-11.49272674,64.75,12.712713876,Monday,Spring
1987-06-09,denv,13,-16.82868526,64.0,-1.005833679,Tuesday,Spring
1987-06-10,denv,10,-13.82868526,68.5,5.1360675494,Wednesday,Spring
1987-06-11,denv,20,-10.28934263,69.25,16.549721876,Thursday,Spring
1987-06-12,denv,20,22.171314741,71.5,8.6844244969,Friday,Spring
1987-06-13,denv,18,-13.82868526,72.75,17.434798794,Saturday,Spring
1987-06-14,denv,16,-14.73611111,73.75,21.36535435,Sunday,Spring
1987-06-15,denv,20,-9.828685259,73.25,18.073048589,Monday,Spring
1987-06-16,denv,23,3.171314741,75.25,7.1740827824,Tuesday,Spring
1987-06-17,denv,30,-0.828685259,69.5,10.877613443,Wednesday,Spring
1987-06-18,denv,18,-11.82868526,69.75,13.837576572,Thursday,Spring
1987-06-19,denv,11,-14.82868526,67.75,14.896944099,Friday,Spring
1987-06-20,denv,9,-11.12999598,70.5,10.536823689,Saturday,Spring
1987-06-21,denv,20,-14.82868526,72.75,18.891502332,Sunday,Spring
1987-06-22,denv,17,NA,76.25,21.601091164,Monday,Spring
1987-06-23,denv,13,-1.333882859,67.5,10.76775783,Tuesday,Spring
1987-06-24,denv,16,2.171314741,68.75,11.030391221,Wednesday,Spring
1987-06-25,denv,22,3.171314741,67.75,23.119166321,Thursday,Spring
1987-06-26,denv,12,-6.534996985,71.0,19.448687683,Friday,Spring
1987-06-27,denv,17,NA,76.25,26.363724554,Saturday,Spring
1987-06-28,denv,9,-0.828685259,74.5,13.781646719,Sunday,Spring
1987-06-29,denv,20,-21.82868526,57.0,-1.161807024,Monday,Spring
1987-06-30,denv,18,-9.828685259,62.0,6.1197827251,Tuesday,Spring
1987-07-01,denv,15,-10.82868526,70.75,9.8372022747,Wednesday,Summer
1987-07-02,denv,16,-6.100302494,71.75,5.1201570226,Thursday,Summer
1987-07-03,denv,15,-4.828685259,72.5,19.411823689,Friday,Summer
1987-07-04,denv,10,-5.668,70.25,15.378137476,Saturday,Summer
1987-07-05,denv,13,NA,71.0,20.150566801,Sunday,Summer
1987-07-06,denv,17,NA,76.75,21.629221837,Monday,Summer
1987-07-07,denv,19,NA,71.25,15.622659437,Tuesday,Summer
1987-07-08,denv,17,0.0604948406,71.25,17.422994295,Wednesday,Summer
1987-07-09,denv,10,-6.890243902,75.5,9.9756066624,Thursday,Summer
1987-07-10,denv,9,-4.926530612,77.75,9.4872624425,Friday,Summer
1987-07-11,denv,11,-12.66803279,68.75,17.4146782,Saturday,Summer
1987-07-12,denv,11,-22.44262295,55.0,-3.336951315,Sunday,Summer
1987-07-13,denv,18,NA,63.25,7.144644482,Monday,Summer
